28/11/2023,7410,1,2,6,168600
27/11/2023,7409,5,8,8,137400
26/11/2023,7408,4,0,5,172200
24/11/2023,7407,4,6,5,102000
23/11/2023,7406,6,8,6,96600
22/11/2023,7405,1,1,6,147000
21/11/2023,7404,2,8,2,138000
20/11/2023,7403,7,5,2,327000
19/11/2023,7402,8,4,1,182400
17/11/2023,7401,4,9,3,115800
16/11/2023,7400,4,6,6,115800
15/11/2023,7399,2,3,3,155400
14/11/2023,7398,0,8,6,120000
13/11/2023,7397,2,3,3,105000
12/11/2023,7396,4,8,0,132000
10/11/2023,7395,7,4,9,182400
09/11/2023,7394,7,1,5,164400
08/11/2023,7393,3,2,1,1800600
07/11/2023,7392,6,0,6,166800
06/11/2023,7391,5,8,3,90000
05/11/2023,7390,5,4,3,222000
03/11/2023,7389,4,7,2,199800
02/11/2023,7388,8,2,4,173400
01/11/2023,7387,0,7,5,127200
31/10/2023,7386,7,0,7,146400
30/10/2023,7385,5,1,7,124800
29/10/2023,7384,5,4,3,214800
27/10/2023,7383,5,2,1,272400
26/10/2023,7382,8,2,0,324600
25/10/2023,7381,9,7,4,58200
24/10/2023,7380,1,5,0,99000
23/10/2023,7379,6,5,3,76800
06/10/2023,7378,2,5,4,130200
05/10/2023,7377,7,3,4,135600
04/10/2023,7376,6,3,0,142800
03/10/2023,7375,8,0,6,120000
02/10/2023,7374,4,3,9,80400
01/10/2023,7373,3,3,5,135000
30/09/2023,7372,8,6,6,72600
29/09/2023,7371,1,3,8,85200
28/09/2023,7370,6,1,9,148800
27/09/2023,7369,2,5,8,123000
26/09/2023,7368,6,2,3,188400
25/09/2023,7367,6,1,3,70200
24/09/2023,7366,4,7,3,94800
23/09/2023,7365,8,4,5,96000
22/09/2023,7364,2,2,0,512400
21/09/2023,7363,1,1,3,241800
20/09/2023,7362,0,0,6,216600
19/09/2023,7361,1,9,3,146400
18/09/2023,7360,0,2,9,154200
17/09/2023,7359,9,4,4,81000
15/09/2023,7358,6,6,0,170400
14/09/2023,7357,9,0,1,174000
13/09/2023,7356,6,6,8,115200
12/09/2023,7355,6,2,0,262800
11/09/2023,7354,9,4,2,207600
10/09/2023,7353,9,7,8,125400
09/09/2023,7352,6,2,1,174000
08/09/2023,7351,4,9,2,95400
07/09/2023,7350,1,9,2,135000
06/09/2023,7349,9,9,8,114600
05/09/2023,7348,3,5,8,182400
04/09/2023,7347,1,3,1,222600
03/09/2023,7346,9,6,1,210600
